epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,2436.15,0.89694,0.72833,0.88748,0.8288,0.46926,0.51512,0.30043,0.9894,0.93798,0.94837,0.000648071,0.000648071,0.000648071
63,2474.51,0.85648,0.66782,0.8824,0.79459,0.44012,0.50626,0.28287,1.00217,0.88079,0.9535,0.000638115,0.000638115,0.000638115
64,2512.58,0.87975,0.70421,0.88609,0.82722,0.42008,0.46477,0.27497,0.99156,0.87237,0.94539,0.000628101,0.000628101,0.000628101
65,2552.73,0.89324,0.71195,0.88542,0.77332,0.35797,0.41761,0.25424,1.0355,0.9579,0.96629,0.000618034,0.000618034,0.000618034
66,2596.11,0.87787,0.69975,0.88024,0.74515,0.37386,0.40064,0.24843,1.01763,0.87699,0.9578,0.000607916,0.000607916,0.000607916
67,2639.74,0.8635,0.67567,0.87522,0.67246,0.44921,0.45919,0.28048,1.02263,0.87884,0.96,0.000597754,0.000597754,0.000597754
68,2680.94,0.86429,0.66793,0.87765,0.81883,0.40837,0.47595,0.26716,1.01597,0.98521,0.95809,0.000587551,0.000587551,0.000587551
69,2721.65,0.86931,0.68874,0.8775,0.81142,0.40296,0.47046,0.28252,0.99298,0.9244,0.94981,0.000577311,0.000577311,0.000577311
70,2760.33,0.84169,0.65883,0.87106,0.81433,0.41975,0.52411,0.29482,1.0012,0.89175,0.94496,0.00056704,0.00056704,0.00056704
71,2799.48,0.84717,0.65132,0.87514,0.73898,0.40046,0.42753,0.2584,1.00411,0.95573,0.94472,0.000556742,0.000556742,0.000556742
72,2839.97,0.83685,0.64284,0.86986,0.74491,0.47396,0.54818,0.28227,1.04496,0.89412,0.96539,0.000546421,0.000546421,0.000546421
73,2876.24,0.86687,0.68307,0.87731,0.66414,0.43529,0.46222,0.25853,1.04267,0.95213,0.97068,0.000536081,0.000536081,0.000536081
74,2915.52,0.85014,0.66995,0.87423,0.82573,0.42827,0.48263,0.29279,0.99302,0.88842,0.95205,0.000525728,0.000525728,0.000525728
75,2955.35,0.87161,0.67289,0.87568,0.80519,0.49195,0.54106,0.31182,1.00049,0.84921,0.9512,0.000515366,0.000515366,0.000515366
76,2994.86,0.82809,0.62711,0.866,0.77605,0.50026,0.53689,0.31187,0.95387,0.86205,0.93691,0.000505,0.000505,0.000505
77,3036.33,0.84739,0.6511,0.87343,0.78994,0.5043,0.54361,0.29624,1.02489,0.83992,0.95814,0.000494634,0.000494634,0.000494634
78,3077.54,0.84488,0.65106,0.87457,0.87486,0.49702,0.56828,0.31483,0.99427,0.90874,0.94754,0.000484272,0.000484272,0.000484272
79,3119.46,0.80637,0.59227,0.85699,0.75332,0.45317,0.49665,0.30721,1.03295,0.88619,0.96004,0.000473919,0.000473919,0.000473919
80,3156.64,0.84412,0.6655,0.87993,0.75014,0.51252,0.55974,0.2938,0.99548,0.86929,0.95267,0.000463579,0.000463579,0.000463579
81,3199.5,0.84633,0.65293,0.87331,0.77563,0.49306,0.52662,0.28406,1.02582,0.97923,0.95895,0.000453258,0.000453258,0.000453258
